text,label
"Film byl piekny, wzruszajacy i zostal ze mna na dlugo",pozytywny
"Aktorzy zagrali swietnie, a historia naprawde mnie poruszyla",pozytywny
"To najlepszy serial, jaki ogladalem w tym roku",pozytywny
"Muzyka i zdjecia byly zachwycajace",pozytywny
"Seans byl bardzo przyjemny i zdecydowanie go polecam",pozytywny
"Produkt dziala bez zarzutu i spelnia wszystkie oczekiwania",pozytywny
"Jakosc wykonania jest bardzo dobra, jestem zadowolony",pozytywny
"To byl udany zakup w rozsądnej cenie",pozytywny
"Sprzet jest szybki, wygodny i solidny",pozytywny
"Opakowanie bylo staranne, a produkt zgodny z opisem",pozytywny
"Restauracja zaskoczyla mnie pysznym jedzeniem i mila obsluga",pozytywny
"Kolacja byla swietna, wszystko smakowalo znakomicie",pozytywny
"Kelner byl pomocny, a atmosfera bardzo przyjazna",pozytywny
"Danie bylo swieze, cieple i dobrze doprawione",pozytywny
"Chetnie wroce do tego miejsca ponownie",pozytywny
"Aplikacja dziala plynnie i ma intuicyjny interfejs",pozytywny
"Nowa wersja programu jest stabilna i wygodna",pozytywny
"Funkcje sa przydatne, a konfiguracja prosta",pozytywny
"System uruchamia sie szybko i nie sprawia problemow",pozytywny
"Aktualizacja wyraznie poprawila komfort korzystania",pozytywny
"Obsluga klienta odpowiedziala szybko i konkretnie",pozytywny
"Konsultant byl uprzejmy, cierpliwy i pomocny",pozytywny
"Reklamacja zostala rozwiazana sprawnie i uczciwie",pozytywny
"Dostawa przyszla przed terminem i bez uszkodzen",pozytywny
"Kurier byl punktualny, a paczka dobrze zabezpieczona",pozytywny
"Kurs byl ciekawy, praktyczny i dobrze prowadzony",pozytywny
"Materialy szkoleniowe byly jasne i bardzo pomocne",pozytywny
"Prowadzacy tlumaczyl spokojnie i zrozumiale",pozytywny
"Usluga byla wykonana profesjonalnie i terminowo",pozytywny
"Jestem bardzo zadowolony z efektu koncowego",pozytywny
"Film byl poprawny, ale nie wywolal silnych emocji",neutralny
"Historia byla przewidywalna, chociaz ogladalo sie ja bez problemu",neutralny
"Seans byl przecietny i raczej szybko o nim zapomne",neutralny
"Aktorzy zagrali w porzadku, bez wiekszych zaskoczen",neutralny
"Film mial kilka dobrych scen, ale calosc byla zwyczajna",neutralny
"Produkt jest zgodny z opisem i dziala standardowo",neutralny
"Jakosc jest akceptowalna jak na te cene",neutralny
